doi,field_id
"10.1016/j.jml.2006.02.004","cognitive_psychology"
"10.1073/pnas.1707040114","cognitive_psychology"
"10.1371/journal.pone.0071475","cognitive_psychology"
"10.1037/0022-3514.94.4.647","social_psychology"
"10.1073/pnas.1516868113","social_psychology"
"10.1016/j.cognition.2016.06.011","cognitive_psychology"
"10.1016/j.jesp.2018.05.006","social_psychology"
"10.1111/j.1467-9280.2006.01704.x","cognitive_psychology"
"10.1111/j.1467-9280.2008.02061.x","biological_neuropsychology"
"10.1126/science.1190792","social_psychology"
"10.1002/bdm.586","cognitive_psychology"
"10.1016/j.neuroimage.2006.11.048","cognitive_psychology"
"10.1371/journal.pone.0154854","methods_evaluation_psychology"
"10.1177/0956797615573516","social_psychology"
"10.1037/0278-7393.34.3.478","cognitive_psychology"
"10.1037/a0032108","educational_psychology"
"10.1016/j.obhdp.2004.12.002","cognitive_psychology"
"10.1037/0278-7393.34.1.146","cognitive_psychology"
"10.1177/0956797614563108","social_psychology"
"10.1037/0096-3445.136.4.569","cognitive_psychology"
"10.1037/0278-7393.34.1.249","cognitive_psychology"
"10.1177/0146167214524992","developmental_psychology"
"10.1126/science.1186799","cognitive_psychology"
"10.1037/0022-3514.94.3.429","social_psychology"
"10.3389/fpsyg.2014.01276","cognitive_psychology"
"10.1037/0022-3514.95.1.76","social_psychology"
"10.1037/0278-7393.34.2.430","cognitive_psychology"
"10.1037/0021-9010.77.4.419","social_psychology"
"10.1177/0956797619879441","cognitive_psychology"
"10.1016/j.jesp.2020.104080","educational_psychology"
"10.1177/0956797616685771","social_psychology"
"10.1037/a0031047","social_psychology"
"10.1073/pnas.0908963106","cognitive_psychology"
"10.1111/j.1467-9280.2008.02053.x","biological_neuropsychology"
"10.1111/j.1467-9280.2008.02093.x","differential_personality_diagnostics"
"10.1037/0278-7393.34.1.237","cognitive_psychology"
"10.1037/0278-7393.34.2.353","cognitive_psychology"
"10.1177/0956797618806296","cognitive_psychology"
"10.1111/j.1467-9280.2008.02057.x","cognitive_psychology"
"10.1037/0022-3514.94.3.516","social_psychology"
"10.1177/0146167207309195","social_psychology"
"10.1037/a0015960","social_psychology"
"10.1126/science.1221936","cognitive_psychology"
"10.1037/pspi0000109","differential_personality_diagnostics"
"10.1037/0278-7393.34.3.546","cognitive_psychology"
"10.1016/j.jesp.2020.104019","social_psychology"
"10.1037/0022-3514.94.4.579","social_psychology"
"10.1111/j.1467-9280.2008.02041.x","cognitive_psychology"
"10.1037/a0019689","social_psychology"
"10.1037/0022-3514.94.4.560","cognitive_psychology"
"10.1073/pnas.2120668119","social_psychology"
"10.1037/0278-7393.34.2.408","cognitive_psychology"
"10.1111/j.1467-9280.2008.02136.x","methods_evaluation_psychology"
"10.1016/j.neuropsychologia.2009.05.011","cognitive_psychology"
"10.1037/a0021524","social_psychology"
