"term","estimate","se_model","lower_model","upper_model","p_model","se_CR2","lower_CR2","upper_CR2","p_CR2","df_CR2"
"age_r",-1.47188694716171,0.335921421586707,-2.13028083510716,-0.813493059216273,1.1778898134378e-05,0.706905053823767,-2.86092577955073,-0.0828481147727032,0.0378614860051505,476.199550917852
"age_r_sq",0.0877638305550157,0.0425505444463199,0.00436629591765782,0.171161365192374,0.0391527091473397,0.118264679919514,-0.144646029224353,0.320173690334384,0.458409863775732,457.120624164462
"has_overlap_f",0.441800952509674,4.82858790454101,-9.02205743657644,9.90565934159579,0.92709774830687,2.9726051160991,-5.48727988065841,6.37088178567776,0.882279197324482,69.7278350692284
"SNIP_centered",-0.957431499761008,1.06923677940311,-3.0530970783367,1.13823407881468,0.37055486568271,0.981029383550946,-2.90926967859257,0.994406679070549,0.331987018242978,81.2817627087295
"snip_missing_f",-0.780418379486961,5.11845737755614,-10.8124104959003,9.2515737369264,0.878815143509373,3.6102437847259,-8.01211560563802,6.4512788466641,0.829640060282297,56.1725205949697
"same_journal_f",-0.0186912173700193,4.53161527941154,-8.90049395680806,8.86311152206802,0.996709034073541,4.06973754551222,-8.09672879065054,8.0593463559105,0.996345042399378,96.3060414072555
"same_journal_missing",10.9687117343848,14.222265860108,-16.9064171299805,38.84384059875,0.440567546881637,8.39615338928722,-8.60469865114677,30.5421221199163,0.229899416120778,7.53111246751596
"multi_original_f",4.95535869011285,6.26320867917458,-7.32030474872801,17.2310221289537,0.428835863449481,4.61411272217793,-4.32385599031671,14.2345733705424,0.288254049865052,47.618748552404
"group_article_oa",5.38707020972671,3.45141946199072,-1.37758763131571,12.1517280507691,0.11856447076822,4.1886394028754,-2.86358090070387,13.6377213201573,0.19962647325542,243.138586185864
"group_preprint",4.28479546688535,14.6939113340533,-24.5147415398839,33.0843324736546,0.770589825452679,8.83433654625409,-15.6071974234741,24.1767883572448,0.638904897453045,9.28356426161303
"group_online_deposit",5.19811458146436,15.2160406024757,-24.6247769866872,35.0210061496159,0.732636350210745,9.51260943985811,-16.0454558093025,26.4416849722312,0.596937403575408,9.83548021047918
"group_article_access_unknown",-8.84727916153307,21.0796379984745,-50.1626104456852,32.468052122619,0.674699249590596,12.0985370308936,-36.0980831696303,18.4035248465641,0.482703091174585,9.2629814946427
"group_other_unclassified",-3.46484426287451,14.5091496519146,-31.902255026929,24.97256650118,0.811257499495021,6.61640287780871,-17.7754811266476,10.8457926008986,0.609416775297388,12.851852422026
"group_doi_unavailable",-17.5685047112775,18.7600282597205,-54.3374844492833,19.2004750267283,0.34902299311904,14.8392846358434,-49.1618420565937,14.0248326340388,0.254632274570802,15.1979844077963
"subj_cognitive_psychology",-10.4450547191203,4.12734931275061,-18.5345107237276,-2.35559871451293,0.0113837381959677,4.8565571786083,-20.0393790843375,-0.850730353903085,0.0330642920114443,153.487593056715
"subj_developmental_psychology",-10.8686112987202,8.5558119928959,-27.637694663292,5.90047206585168,0.203970991133391,4.91844702980809,-21.262485640117,-0.474736957323287,0.041437942703173,16.6455475502462
"subj_social_psychology",-7.94023043137,4.07566481598769,-15.9283866837629,0.047925821022945,0.051390442942023,4.4903825388482,-16.8198699129031,0.939409050163081,0.0792468351096241,136.625467748379
"subj_psychology_other",-8.73176464139377,9.14049496309968,-26.6468055699389,9.18327628715138,0.33943431493254,6.68764923358849,-23.1412714743829,5.67774219159539,0.213724527927572,13.3487900489388
"subj_biological_neuropsychology",-12.2661777472058,7.94002278191015,-27.8283364361772,3.2959809417656,0.122381527554578,6.69475854285987,-25.9570929202066,1.42473742579495,0.0771845921722329,29.0686005034304
"subj_clinical_psychology",-9.14531044621233,11.1359934052768,-30.9714564526304,12.6808355602057,0.411510229906747,8.28355823098256,-28.0584912269942,9.76787033456958,0.299899396108717,8.48594852566111
"subj_differential_personality_diagnostics",24.3800369258397,9.94184886689775,4.89437120697978,43.8657026446996,0.0141960512025704,22.1521445004404,-24.5016012713156,73.2616751229951,0.295064325744529,10.7739546322239
"subj_human_medicine",-13.4475212518188,6.67994418235404,-26.5399712679705,-0.355071235666976,0.0441021323300612,8.26088290843428,-30.0784858089308,3.18344330529332,0.110427216466941,45.7279808771763
"subj_sociology_social_sciences",-4.54842532850687,11.0102662714922,-26.1281506808278,17.031300023814,0.679527737957,14.8554019430892,-36.2109113989472,27.1140607419335,0.763674725962454,15.0057332958816
"subj_health_sciences_general",-1.11332896240224,11.7397131346015,-24.122743895053,21.8960859702485,0.924446341697431,7.41299192328567,-17.2758799899649,15.0492220651604,0.883127728192033,11.9266152995747
"subj_biology",-26.982727759539,5.97414536421664,-38.6918375118106,-15.2736180072675,6.28452739846231e-06,7.22933486220518,-41.4551191336592,-12.5103363854188,0.000435303814468871,57.7553256581882
"subj_education",-6.92571764340267,9.49476797249871,-25.5351209110645,11.6836856242592,0.465741954327073,4.57743201301068,-16.5550649230661,2.70362963626073,0.147947305505679,17.6793030115498
"subj_political_science",-14.0933123938195,7.31936456781181,-28.4390033364493,0.252378548810199,0.0541689547939914,8.28195602288096,-30.7871607700773,2.60053598243826,0.0959106027273732,43.7529116766638
"subj_general_comparative_literature_linguistics",0.376840190992998,11.0582925558758,-21.297014949031,22.050695331017,0.972815262023215,4.67481105977395,-10.1885412947978,10.9422216767838,0.937505068333937,9.05495741493346
"subj_microeconomics",0.912330660144206,5.58902822264833,-10.0419633648244,11.8666246851128,0.870332615499877,4.36210819517805,-7.86211811167196,9.68677943196037,0.835231967714732,47.1999096445632
"subj_marketing",-6.89925607214843,12.5029898314563,-31.4046658408733,17.6061536965764,0.581079562611558,7.60123284196195,-23.8786052187952,10.0800930744983,0.385800605669558,9.8176093104227
"subj_macroeconomics",2.88107691688217,6.29236737892423,-9.45173652330402,15.2138903570684,0.647046907112669,9.42091782818862,-16.3408758649398,22.1030296987041,0.761808832908398,30.6902026442096
"subj_behavioural_experimental_economics",-3.04228311460703,8.59190289353507,-19.8821033446013,13.7975371153872,0.723273510300461,6.17895767794402,-15.8368542614603,9.75228803224628,0.627211987269073,22.603342227905
"subj_finance",51.3324235875183,10.1706054581254,31.398403188626,71.2664439864106,4.48483353225908e-07,48.8870924169154,-59.9884832055044,162.653330380541,0.322227632999926,8.62824263895524
