"term","estimate","se_model","lower_model","upper_model","p_model","se_CR2","lower_CR2","upper_CR2","p_CR2","df_CR2"
"age_r",-1.47124075547389,0.335921361732905,-2.12963452610804,-0.812846984839747,1.18833117487864e-05,0.706801959787705,-2.86007701149163,-0.0824044994561499,0.0379175364248199,476.19967297096
"age_r_sq",0.0876716991167928,0.0425505320566157,0.00427418876280901,0.171069209470777,0.0393590084675006,0.118230894349261,-0.144671766079857,0.320015164313443,0.458753222106995,457.120839924089
"has_overlap_f",0.467025153330255,4.78881278811107,-8.91887544007229,9.8529257467328,0.922310114151723,2.93154085124663,-5.38124956589016,6.31529987255067,0.873889726849047,68.9928987303126
"SNIP_centered",-0.88102200946873,1.06521588376501,-2.96880677740815,1.20676275847069,0.408189986745247,0.9399051532155,-2.75133355407025,0.989289535132789,0.351383140191576,80.4463858547142
"snip_missing_f",0.463862587486797,4.99089442439167,-9.31811073496264,10.2458359099362,0.925949817573906,3.54410006827405,-6.63233874258904,7.56006391756263,0.896326480341282,57.2743350182849
"same_journal_f",-0.466295978858695,4.49634154643689,-9.27896347206613,8.34637151434874,0.917402950520772,4.15643112274202,-8.71680452994758,7.78421257223019,0.910909808130401,95.9471659380863
"same_journal_missing",13.9082845957096,10.3722351454284,-6.42092272851063,34.2374919199298,0.179948085771007,8.58935606993796,-3.95331515265907,31.7698843440782,0.120302887866518,21.0182442490966
"form_preprint_repository",-9.95277914898792,10.0282669732696,-29.6078212439488,9.70226294597296,0.3209670900105,9.82563499643153,-30.2044336446755,10.2988753466996,0.320936402129167,24.6310641545389
"form_multi_original_article",5.78665492198714,6.16464830004952,-6.29583372346599,17.8691435674403,0.347893160821834,5.12400078818824,-4.53201672548611,16.1053265694604,0.264712308755237,45.253547963695
"form_other_output",-10.1122290178527,8.58901125949259,-26.9463817492672,6.72192371356181,0.23905785327224,8.04479303530868,-27.0203078714221,6.79584983571678,0.224909907352963,17.9025665964915
"form_unidentified",-25.9728122045652,15.591298084299,-56.5311949220194,4.58557051288912,0.0957426774232096,15.7101393100354,-59.3286203329174,7.38299592378702,0.118132398870873,15.6999710131682
"unpaywall_status_not_retrieved",11.1678999571655,5.37059250808781,0.641732065672764,21.6940678486583,0.0375756435969296,6.83594365049443,-2.35240251904504,24.6882024333761,0.104668610078929,134.00321605567
"subj_cognitive_psychology",-5.59559512275851,3.50037612498946,-12.4562062600817,1.2650160145647,0.109916252444558,2.68293845536137,-10.8982795618183,-0.292910683698715,0.0387636884728422,145.113587276761
"subj_developmental_psychology",-7.17807798199034,8.26198868774215,-23.3712782506423,9.01512228666161,0.384952413959136,3.80650198294916,-15.2945862529634,0.938430288982696,0.078934890051695,14.9336377195531
"subj_social_psychology",-4.13754052549857,3.59137344236763,-11.1765031275728,2.90142207657561,0.249289229345724,3.1535023133771,-10.3766273824944,2.10154633149723,0.191826872558174,129.426601406582
"subj_psychology_other",-4.15380486332015,8.93551229754453,-21.6670871499222,13.3594774232819,0.642028301360003,6.28040798387669,-17.7821445304433,9.47453480380296,0.520407694818801,12.4571999759657
"subj_biological_neuropsychology",-5.54301877548201,7.59579004511146,-20.4304936980283,9.34445614706432,0.465543737438275,4.08768810317731,-13.985558612214,2.89952106124993,0.187879321517551,23.6837123921644
"subj_clinical_psychology",-5.18759169171937,10.8741438721575,-26.500522043855,16.1253386604162,0.633321190227692,6.35184076826546,-19.898906529927,9.52372314648829,0.438310911612844,7.80499958260092
"subj_differential_personality_diagnostics",26.7844533889174,9.75707824207294,7.66093144011504,45.9079753377197,0.00604868335488806,21.5145621324437,-21.0121241900609,74.5810309678956,0.24093610515262,10.2221760115799
"subj_human_medicine",-8.62975309065732,6.07360271105274,-20.5337956607255,3.27428947941089,0.155356796093826,6.50299464115478,-21.853996730159,4.59449054884434,0.193492227060211,33.4122389641318
"subj_sociology_social_sciences",-3.08508960083759,10.801004991838,-24.2546703816773,18.0844911800021,0.775161626783723,13.9327975596336,-32.9483196109425,26.7781404092673,0.82793534645599,14.0988739632379
"subj_health_sciences_general",1.3558989515463,11.4305331530801,-21.0475343525818,23.7593322556744,0.905575788144653,6.7157978653748,-13.4408631840114,16.152661087104,0.843713588229838,10.9070056850784
"subj_biology",-22.9938880282591,5.41500072412663,-33.6070944238056,-12.3806816327126,2.17299080810816e-05,5.83021731496517,-34.7301559706571,-11.2576200858612,0.000272036193141492,45.9059052368435
"subj_education",-6.70257310226092,9.26066246063802,-24.8531379980935,11.4479917935717,0.46920804849302,4.39391325961831,-16.0064330583807,2.60128685385886,0.14640078755509,16.2322554898883
"subj_political_science",-14.413050725707,7.21019303007488,-28.5447693862355,-0.28133206517856,0.0456102318029496,8.10507666893418,-30.7927573078011,1.96665585638701,0.0829420055559564,40.0993699366107
"subj_general_comparative_literature_linguistics",2.05362417075657,10.7989514943057,-19.1119318288776,23.2191801703907,0.84917682094673,4.8581460127297,-8.9149988383132,13.0222471798263,0.682298047659821,9.11592443780307
"subj_microeconomics",2.66017872775383,5.37683439849082,-7.87822304412426,13.1985804996319,0.620777927439653,4.39917139842827,-6.21745423415785,11.5378116896655,0.548628426622272,42.0406552927888
"subj_marketing",-3.35629598659304,12.2326492451225,-27.3318479425442,20.6192559693581,0.783798786816157,6.79294555390619,-18.6725753558265,11.9599833826404,0.632829641625306,9.19862328725209
"subj_macroeconomics",4.6772103263865,6.17665979550525,-7.42882041756033,16.7832410703333,0.448906432977979,9.76112917981961,-15.2494195400308,24.6038401928038,0.635260192032133,30.2993415156442
"subj_behavioural_experimental_economics",0.396963870065741,8.20735460811998,-15.6891555701983,16.4830833103297,0.961423880099479,5.12649540061627,-10.338228321547,11.1321560616785,0.939093985043767,18.8620456452305
"subj_finance",51.8096693330645,10.1179479273519,31.9788557980031,71.640482868126,3.04612125563286e-07,48.9064587677229,-59.6780286295792,163.297367295708,0.318379899073634,8.56923086910851
"subj_business_administration",10.1341222284097,11.5600857464871,-12.5232294928998,32.7914739497192,0.380678038632042,7.0573577068372,-5.87315373417612,26.1413981909956,0.185415110181884,8.84615523711883
"subj_economics_business",-6.82875176193464,20.5514751589341,-47.1089029026151,33.4513993787458,0.739681235255016,11.0596687119386,-31.8325902807456,18.1750867568763,0.552181721383555,9.03524834908456
"subj_psychology",-0.639707388457938,10.1972143296606,-20.6258802172284,19.3464654403125,0.949978686160301,5.6781905902634,-12.0399074013109,10.760492624395,0.91074326516808,50.8609503485323
"subj_other",5.28922411328302,7.57505781543615,-9.55761638578048,20.1360646123465,0.485025815474712,5.78152798251084,-6.52579435815754,17.1042425847236,0.36767656112103,29.5489156226992
