"term","estimate","se_model","lower_model","upper_model","p_model","se_CR2","lower_CR2","upper_CR2","p_CR2","df_CR2"
"age_r",0.262849432733107,0.0785564395497129,0.108881640461971,0.416817225004242,0.00081987953985598,0.431939176735707,-0.60028816320502,1.12598702867123,0.545018557266436,63.0895355125979
"age_r_sq",-0.0138613010865834,0.010480790776981,-0.0344032735389658,0.00668067136579896,0.185987254163718,0.0543843507342555,-0.12264283181605,0.0949202296428834,0.79968866482174,60.0904440723108
"gap_years",-0.0668194688717253,0.133653407756396,-0.328775334485309,0.195136396741858,0.617113194390874,0.102911016178845,-0.275642745655963,0.142003807912512,0.520332158944382,35.4617075621067
"has_overlap_f",1.17452316905987,3.0229084333805,-4.75026848892831,7.09931482704805,0.697615889414115,2.38035719401075,-3.58061738517694,5.92966372329668,0.623399551362094,64.1187436934499
"SNIP_centered",-2.34458856965249,1.01548766410017,-4.33490781803352,-0.354269321271449,0.020953006412629,1.32604325589462,-5.02851146650264,0.339334327197665,0.0850245959860962,38.2217388827309
"snip_missing_f",3.78423427188744,3.4887812087046,-3.0536512471137,10.6221197908886,0.278060479109336,2.7980820087348,-1.82935787515974,9.39782641893461,0.182036341338201,52.4594139631289
"same_journal_f",2.81305606017134,2.85995315187736,-2.7923491149801,8.41846123532278,0.325311169144327,2.57505256561503,-2.31409230225876,7.94020442260144,0.278033697792953,77.4128585267505
"is_oa_f",1.61582200595727,2.06584357963301,-2.43315700781673,5.66480101973126,0.434120039212079,2.62555837648833,-3.56258063599234,6.79422464790687,0.539000640264384,193.410296014148
"subj_cognitive_psychology",-7.77673777509243,3.37478693357912,-14.3911986204039,-1.16227692978099,0.0212022148038282,3.59952658247893,-14.9372168687111,-0.616258681473809,0.0336498883032817,82.0964383684801
"subj_developmental_psychology",-13.3512293211694,6.28899537591991,-25.6774337569114,-1.02502488542748,0.0337579541506849,4.86406584201835,-23.9146600238803,-2.78779861845863,0.0173586488698676,12.3635343968506
"subj_social_psychology",-7.32335345789997,3.32349691748446,-13.8372877188994,-0.809419196900543,0.0275589338245811,3.31168035126315,-13.923424640315,-0.723282275484902,0.0301387326166053,73.0645536177213
"subj_psychology_other",-13.8106200096817,7.06202121619527,-27.6519272514822,0.0306872321187726,0.0505101007026108,5.25379326769658,-25.497965983171,-2.12327403619238,0.0249866409612222,10.1203035957598
