"doi_o","doi_r","type_r","is_oa","publication_access_group","unpaywall_coverage","n_originals_for_replication","multi_original_f"
"10.1257/aer.96.4.1013","10.1257/aer.102.4.1751","article",FALSE,"article_closed","status_available",1,0
"10.1257/aer.97.5.1939","10.1257/aer.104.4.1446","article",TRUE,"article_oa","status_available",1,0
"10.1257/aer.98.1.439","10.1257/aer.102.7.3774","article",TRUE,"article_oa","status_available",1,0
"10.1257/aer.98.1.519","10.1257/aer.104.3.1072","article",TRUE,"article_oa","status_available",1,0
"10.1257/aer.98.3.938","10.1257/aer.101.2.1029","article",TRUE,"article_oa","status_available",1,0
"10.1257/aer.98.4.1591","10.1002/jae.2563","article",FALSE,"article_closed","status_available",1,0
"10.1257/aer.99.3.827","10.1002/jae.2814","article",FALSE,"article_closed","status_available",1,0
"10.1257/app.20150517","10.17605/osf.io/qs827","preprint",NA,"preprint","status_not_retrieved",1,0
"10.1257/app.5.3.91","10.17605/osf.io/ezx2k","preprint",NA,"preprint","status_not_retrieved",1,0
"10.1257/app.6.3.133","10.17605/osf.io/4p892","preprint",NA,"preprint","status_not_retrieved",1,0
"10.1257/jep.26.3.69","10.4337/ejeep.2015.01.03","article",TRUE,"article_oa","status_available",1,0
"10.1257/mac.3.3.92","10.5018/economics-ejournal.ja.2018-3","article",TRUE,"article_oa","status_available",1,0
"10.1257/pol.2.1.131","10.1177/1091142117690437","article",FALSE,"article_closed","status_available",1,0
"10.1287/mnsc.2013.1794","10.17605/osf.io/sc87r","preprint",NA,"preprint","status_not_retrieved",1,0
"10.1287/mnsc.2016.2664","10.1177/1042258720985478","article",TRUE,"article_oa","status_available",2,0
"10.1287/mnsc.23.8.830","10.5465/ambpp.2016.11907abstract","conference-abstract",FALSE,"other_unclassified","status_available",1,0
"10.1287/orsc.1040.0065","10.1002/smj.2573","article",FALSE,"article_closed","status_available",1,0
"10.1348/000709909x466479","10.2466/04.03.pr0.112.2.533-544","article",FALSE,"article_closed","status_available",1,0
"10.1348/0144665031752970","10.17605/osf.io/eqy76",NA,NA,"online_deposit","status_not_retrieved",1,0
"10.1353/lan.2007.0082","10.1017/s0047404519001003","article",FALSE,"article_closed","status_available",1,0
"10.1371/journal.pbio.0000005","10.7554/elife.33105.044","peer-review",TRUE,"other_unclassified","status_available",1,0
"10.1371/journal.pbio.0060202","10.5281/zenodo.18538610","article",NA,"online_deposit","status_not_retrieved",1,0
"10.1371/journal.pgen.1000564","10.1186/1471-2350-13-27","article",TRUE,"article_oa","status_available",1,0
"10.1371/journal.pgen.1002656","10.1371/journal.pgen.1006343","article",TRUE,"article_oa","status_available",1,0
"10.1371/journal.pgen.1002741","10.1371/journal.pone.0126363","article",TRUE,"article_oa","status_available",1,0
"10.1371/journal.pone.0000691","10.1097/mib.0b013e3182a3eaeb","article",TRUE,"article_oa","status_available",1,0
"10.1371/journal.pone.0004117","10.1101/705798","preprint",TRUE,"preprint","status_available",1,0
"10.1371/journal.pone.0045232","10.1186/s12979-019-0146-y","article",TRUE,"article_oa","status_available",1,0
"10.1371/journal.pone.0051382","10.22599/jesla.39","article",TRUE,"article_oa","status_available",1,0
