"term","estimate","se_model","lower_model","upper_model","p_model","se_CR2","lower_CR2","upper_CR2","p_CR2","df_CR2"
"age_r",0.32459097746632,0.061543457256852,0.20396801775881,0.44521393717383,1.33354448781659e-07,0.338923136209279,-0.346569967692201,0.995751922624841,0.340166030512355,117.985340118829
"age_r_sq",-0.0199680186404354,0.00831354252952175,-0.03626226258224,-0.00367377469863076,0.016311663607939,0.043763448207095,-0.10667139889757,0.066735361616699,0.649070510109217,112.98841508968
"has_overlap_f",0.213589112341652,3.45347563645014,-6.55509875658717,6.98227698127048,0.950684212246224,2.5788692537935,-4.9301185462417,5.357296770925,0.934229664060229,69.7569290078714
"SNIP_centered",-0.525802778830405,0.77362209713899,-2.04207422686717,0.990468669206363,0.496717489590309,0.697640158419645,-1.9144974108286,0.86289185316779,0.4532852151765,78.7206184359509
"snip_missing_f",0.406238327928509,3.63795095686483,-6.72401452504959,7.53649118090661,0.91108760745411,2.92806919337121,-5.45618455946632,6.26866121532334,0.890141567998951,57.4223669508133
"same_journal_f",0.310463744799477,3.25739752235529,-6.0739180823469,6.69484557194586,0.924068310544833,2.77747905880757,-5.20449762278681,5.82542511238577,0.911237706430959,93.7241812775703
"same_journal_missing",15.6787897242521,7.47599658105115,1.02610567684729,30.331473771657,0.0359743394762071,8.65488858372365,-2.24812461730475,33.605704065809,0.0834377408584811,22.4806880821816
"form_preprint_repository",-8.99736680506159,7.38395934537565,-23.4696611853058,5.47492757518262,0.223033389945578,8.89761475603407,-27.3520186054535,9.35728499533029,0.321908514275603,24.2275385066053
"form_multi_original_article",3.1281344349718,4.45248781777459,-5.59858132946975,11.8548501994133,0.482330754595025,3.96388614661344,-4.86231083993022,11.1185797098738,0.434284108236681,43.6599675780983
"form_other_output",-8.16112370360692,6.31173769395414,-20.5319022636209,4.20965485640709,0.196008491051129,7.59580937959324,-24.1210172503736,7.79876984315974,0.29684550255771,17.9734448145364
"form_unidentified",-18.86379998622,11.4490678715811,-41.3035606710736,3.57596069863369,0.0994291173489008,11.1883298681069,-42.8037310447004,5.07613107226045,0.113384828128591,14.3621944618899
"subj_cognitive_psychology",-9.028425385941,2.49711360517803,-13.9226781173949,-4.13417265448709,0.000299716970080382,2.05687966519845,-13.0944914145914,-4.96235935729063,2.20439542856877e-05,141.98499082723
