"term","estimate","se_model","lower_model","upper_model","p_model","se_CR2","lower_CR2","upper_CR2","p_CR2","df_CR2"
"age_r",0.324561299930078,0.0615434676403955,0.203938319871197,0.44518427998896,1.33706148199434e-07,0.336309446416491,-0.344111227959747,0.993233827819904,0.337248535984244,85.0066169671798
"age_r_sq",-0.019961851690781,0.00831354435808157,-0.036256099216497,-0.00366760416506499,0.0163447924583491,0.0433253514712963,-0.106194433624671,0.0662707302431087,0.64624475810471,79.258499386626
"gap_years",-0.129518447673355,0.138839936145256,-0.401639722133898,0.142602826787189,0.35089142110055,0.0855879892950231,-0.302266893080292,0.0432299977335825,0.137734585577249,41.7967260778653
"has_overlap_f",-2.76378086214073,3.15263620944337,-8.94283428900661,3.41527256472516,0.380672924208343,2.38642960721822,-7.73970235405515,2.21214062977369,0.260368868581574,20.1314816049695
"SNIP_centered",-2.2702610397409,1.21203272439549,-4.64580152764002,0.105279448158218,0.0610542876206139,1.20579326578305,-4.70251947837766,0.161997398895856,0.0665575815277219,42.6696441418076
"snip_missing_f",2.81688059005078,4.51709341056867,-6.036459809467,11.6702209895686,0.532887236468462,3.34801166090839,-3.89416558876762,9.52792676886918,0.40382565254882,54.4652989502175
"same_journal_f",3.00214274052393,3.4038603498965,-3.66930095367711,9.67358643472498,0.377786671337126,2.58155057267111,-2.17138195691454,8.17566743796241,0.249881156321626,55.0086380807516
"same_journal_missing",1.7983808934446,7.97431878792375,-13.8309967321271,17.4277585190163,0.821573547030864,5.24110052028249,-9.45857645807056,13.0553382449598,0.736674290472447,13.7921368506355
"multi_original_f",4.22274822859049,8.97371075159203,-13.3654016522097,21.8108981093907,0.63794869804989,5.56416493778269,-9.36765846705361,17.8131549242346,0.476440283282576,6.04515552635752
"publisher_group_article_oa",-0.300325873952842,2.72806177515837,-5.64722870086366,5.04657695295797,0.91233987294054,2.43773598249805,-5.10478334346522,4.50413159555953,0.902062890954406,218.734319012341
"publisher_group_preprint",3.57110526592552,8.22614676314964,-12.5518461213885,19.6940566532395,0.664203912679903,6.26912557698222,-9.70387317345806,16.8460837053091,0.576728615351169,16.225173981346
"publisher_group_online_deposit",3.05662114077998,8.80285494947351,-14.1966575213183,20.3098998028782,0.728418038174446,6.84240691754293,-11.245558448445,17.358800730005,0.66003030310647,19.3832787510004
"publisher_group_other_publisher_output",-1.45479081316238,9.72582538742095,-20.5170582924328,17.607476666108,0.881095838105611,5.03668816093192,-12.0305617130477,9.12098008672298,0.775979311136477,18.1416278697829
"subj_cognitive_psychology",-10.258411956187,3.1696791496008,-16.4708689319521,-4.04595498042186,0.00121039287373466,2.91277534607203,-16.0677001626647,-4.44912374970922,0.000758666080667993,70.0404895383152
"subj_developmental_psychology",-9.74476551142747,6.05960918710952,-21.6213812785502,2.13185025569521,0.107802150194188,3.43848932623427,-16.9931794554928,-2.49635156736215,0.0113628703706734,17.191923889686
"subj_social_psychology",-7.45706979583137,3.24459139011021,-13.8163520649961,-1.09778752666661,0.0215442751471752,2.84242215961532,-13.142523421716,-1.77161616994672,0.0110145517698464,60.1219680343624
"subj_psychology_other",-8.87013649241979,6.80805951444023,-22.2136879453279,4.47341496048831,0.192613129336506,5.12757853025481,-19.8097909199236,2.06951793508406,0.104390835628606,14.8368061353557
"subj_biological_neuropsychology",-8.6344963471893,5.70613038977974,-19.8183064022471,2.54931370786848,0.130229761350654,4.27213798902567,-17.4128851324316,0.143892438053006,0.0535987762248996,26.1910531895631
